Nodo,Venezuela Settembre,Venezuela Ottobre,Venezuela Novembre,Venezuela Dicembre,Venezuela Dicembre Predetto,Venezuelaerrore
gianlucacaruso,,1.0,0.9055789213477256,1.0,0.81115784269545144,9.442107865227428
MonicaMercati,,1.0,1.0,1.0,1.0,0
angheran70,,1.0,1.0,1.0,1.0,0
ilGrandeMao,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
GToccafondi,,1.0,1.0,1.0,1.0,0
garciacg17,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
AnPetrosino,,1.0,1.0,1.0,1.0,0
PadreJesusLarez,,1.0,1.0,1.0,1.0,0
elin_lopez,,1.0,1.0,1.0,1.0,0
Titty_Gaudio,,1.0,0.5,0.3333333333333333,6.6613381477509392e-16,16.666666666666632
nicola_atlante,,1.0,0.9925767176976233,1.0,0.98515343539524702,0.7423282302376488
ValentinaFanti9,,0.8259092881561844,0.6754001957783173,0.8978406201267721,0.52489110340045086,18.64747583631606
LauriKattelus,,1.0,1.0,1.0,1.0,0
ColdeBelloMonte,,1.0,1.0,1.0,1.0,0
pacollave,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
Adri_uk,,1.0,1.0,1.0,1.0,0
StefanoDavagni,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
Pachusma,,1.0,1.0,1.0,1.0,0
HermannLacHey,,1.0,1.0,1.0,1.0,0
ComitatoDNF,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
JoseLuisLleren2,,1.0,1.0,1.0,1.0,0
ZzuCicciu,,1.0,1.0,1.0,1.0,0
Barbalbero_,,1.0,1.0,1.0,1.0,0
ilgiornale,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
feles87,,1.0,1.0,1.0,1.0,0
moushes,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
VEnriqueSD,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
FABIODITODARO,,1.0,1.0,1.0,1.0,0
