,Filtro,Sample
0,ciao,ciao
2,|Altro|,|Oggi05/11/2017 Elezioni Regionali Sicilia dalle ore 08 alle 2200si voterà un giorno soloil Presidente saràquello che avrà più voti-|
3,|5stelle|,"|'""Se vogliamo che tutto rimanga com''è bisogna che tutto cambi.” Si ucciderà mai il Gattopardo? #elezionisiciliane #RegionaliSicilia'|"
4,|ForzaItalia|,|Elezioni regionali M5S nella Sicilia affondata. Musumeci galantuomo e il freno degli eterni ritorni http://www. corriere.it/politica/elezi oni-regionali-sicilia-2017/notizie/regionali-brivido-m5s-sicilia-affondata-musumeci-galantuomo-e4197ad8-c1a4-11e7-b5e5-1f34efbbc6b1.shtml … povera Sicilia|
5,|Altro|,|In #Sicilia si sta #votando per l’ #elezioni #regionali #auguri a tutti i #candidati e che vinca il migliore|
6,|ForzaItalia|,|Regionali in #Sicilia  i #pentastellati violano il #silenzio . E litigano con i #giornalisti - http:// bit.ly/2zffWbq|
7,|ForzaItalia|,|New post: Regionali  il brivido M5S nella Sicilia affondata. Musumeci il galantuomoe il freno degli eterni ritorni http:// vivicapena.com/regionali-il-b rivido-m5s-nella-sicilia-affondata-musumeci-il-galantuomoe-il-freno-degli-eterni-ritorni-2/ …|
8,|Altro|,"|Regionali Sicilia  Minniti ai prefetti: ""Massima vigilanza sul voto seria minaccia della criminali… http:// palermo.repubblica.it/politica/2017/ 11/04/news/regionali_sicilia_minniti_ai_prefetti_massima_vigilanza_sul_voto_seria_minaccia_della_criminalita_-180251409/ … via @repubblica|"
9,|ForzaItalia|,|Regionali  il brivido M5S nella Sicilia affondata. Musumeci il galantuomoe il freno degli… https:// goo.gl/fb/A44MZV http:// fb.me/C8HXjQKz|
10,|ForzaItalia|,|Regionali  il brivido M5S nella Sicilia affondata. Musumeci il galantuomoe il freno degli… https:// goo.gl/fb/A44MZV|
11,|Altro|,|Elezioni regionali Sicilia 2017: quando si vota candidati come si vota e FAC SIMILE… https:// goo.gl/fb/zS5vcn|
12,|ForzaItalia|,|Regionali  il brivido M5S nella Sicilia affondata. Musumeci il galantuomoe il freno degli eterni ritorni http:// bit.ly/2h4bJwn|
13,|Altro|,|#RegionaliSicilia vota Fava scrivi @Ketty_Berty Bertuccelli ogni votoè un colpo di adrenalina per una Regione che molti terrebbero morente|
14,|5stelle|,|Come votare il MoVimento 5 Stelle alle Elezioni regionali in Sicilia https:// youtu.be/rE9nr_LrE4w via @YouTube|
