'PinoVenezia', 0, '#Berlusconi in #Sicilia : Viene sempre in #Sicilia ,per le regionali e per le politiche', '#Berlusconi #Sicilia #Sicilia'
'Sabina1956', 5, u'. #Siciliani ,mancano 5 giorni,non avrete 1 altra possibilit\xe0! https://www. youtube.com/watch?v=fMbK75 Au-P0&feature=youtu.be \u2026 #RegionaliSicilia #Sicilia5Stelle #CancelleriPresidente', u'#Siciliani #RegionaliSicilia #Sicilia5Stelle #CancelleriPresidente'
'Sabina1956', 3, u'.Vi ha insultato per 25 anni, non potete votarlo! #RegionaliSicilia #Sicilia5Stelle #VotaCancelleri #CancelleriPresidente https:// twitter.com/Debby1861/stat us/925294922625900544 \u2026', u'#RegionaliSicilia #Sicilia5Stelle #VotaCancelleri #CancelleriPresidente'
'Kurdefeso', 0, u'#tagadala7 #GiorgiaMeloni #matteosalvinimi #berlusconi . #sicilia #regionalisicilia #SceglieteIlFuturo #PalermoDay http://www. yvii24.it/spese-pazze-co ndannati-37-ex-consiglieri-provinciali-ci-sono-5-dei-sei-eletti-nel-collegio-di-paterno/ \u2026', u'#tagadala7 #GiorgiaMeloni #matteosalvinimi #berlusconi #sicilia #regionalisicilia #SceglieteIlFuturo #PalermoDay'
'GDS_it', 0, u'#Regionali , forum al Giornale di Sicilia . Appuntamento con Cancelleri - diretta #m5s http:// gds.it/2017/10/31/reg ionali-forum-al-giornale-di-sicilia-appuntamento-con-cancelleri-diretta_748459/?utm_medium=feed&utm_source=twitter.com&utm_campaign=Feed%3A+gds_twitter_feed \u2026 pic.twitter.com/VpjqqkZRcq', u'#Regionali #m5s'
'DArcangeloLex', 0, u'Ma che strana coincidenza Alla vigilia delle regionali in Sicilia la procura di Firenze riapre\xa0inchiesta sulle stragi del 1993 #Berlusconi https:// twitter.com/ilfoglio_it/st atus/925310769142599681 \u2026', u'#Berlusconi'
'rossellavilardi', 22, u'Votare \xe8 la vera arma contro la corruzione. Il 5 Novembre in Sicilia vai a votare! RT #regionaliSicilia #sicilia2017 #SceglieteIlFuturo pic.twitter.com/xdZyEW9IDb', u'#regionaliSicilia #sicilia2017 #SceglieteIlFuturo'
'rtl1025', 0, u'Ciapparoni, #Sicilia chiama Italia @aciapparoni #regionali #SocialCornerRTL1025 http://www. rtl.it/notizie/artico li/ciapparoni-sicilia-chiama-italia/ \u2026', u'#Sicilia #regionali #SocialCornerRTL1025'
'L_Cesa', 2, u'Ospite di #Agor\xe0 su @SiciliaUno per discutere delle prossime #Elezioni regionali in #Sicilia https://www. youtube.com/watch?v=QpmcKg 9M_qE \u2026', u'#Agor #Elezioni #Sicilia'
'LeonebonCettina', 0, u"#elezioni regionali #5novembre da leggere questo articolo e capire l'ignoranza di chi vuole governare la #Sicilia http://www. lastampa.it/2017/10/31/ita lia/politica/grillo-a-catania-la-sicilia-dovrebbe-seguire-il-modello-di-lagos-BBVoPLHBvMYp3UFvsfNR2N/pagina.html \u2026", u'#elezioni #5novembre #Sicilia'
'CapitanoNews', 0, u'Salvini, viaggio in Sicilia sui regionali : \xabLega senza Nord unifica, Bossi sbaglia\xbb https://www. google.com/url?rct=j&sa=t &url=https%3A%2F%2Fwww.ilgazzettino.it%2Fpay%2Fattualita_pay%2Fsalvini_viaggio_in_sicilia_sui_regionali_lega_senza_nord_unifica_bossi_sbaglia-3336773.html&ct=ga&cd=CAIyGjc3YWU3MmE5MDg2M2EyZjM6Y29tOml0OlVT&usg=AFQjCNHdFk4dHWshKc6gPwq9ug-4hlZ6vw&utm_source=dlvr.it&utm_medium=twitter \u2026 #salvini #lega', u'#salvini #lega'
'Italians4Brexit', 1, u'A una settimana da regionali Sicilia . #Pagliacci #Berlusconi https:// twitter.com/Corriere/statu s/925134913623547904 \u2026', u'#Pagliacci #Berlusconi'
'marcoga', 0, u"Mario Caputo #dettoSalvino , \xe8 il fratello del condannato per abuso d'ufficio Salvino, in lista con #musumeci alle #regionalisicilia #sappilo", u'#dettoSalvino #musumeci #regionalisicilia #sappilo'
