Nodo,Rw Settembre,Rw Ottobre,Rw Novembre,Rw Dicembre,Rw Dicembre Predetto,Rwerrore
gianlucacaruso,,1.0,0.01,1.0,-0.97999999999999843,98.99999999999991
MonicaMercati,,1.0,1.0,1.0,1.0,0
angheran70,,0.5,0.2,0.2,-0.099999999999999423,14.999999999999972
ilGrandeMao,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
GToccafondi,,1.0,1.0,1.0,1.0,0
garciacg17,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
AnPetrosino,,0.5,0.5,0.5,0.50000000000000022,1.1102230246251565e-14
PadreJesusLarez,,1.0,1.0,1.0,1.0,0
elin_lopez,,1.0,1.0,1.0,1.0,0
Titty_Gaudio,,1.0,0.0,0.0,-0.99999999999999867,49.999999999999936
nicola_atlante,,0.25,-0.0,0.5,-0.24999999999999967,37.499999999999986
ValentinaFanti9,,0.96,0.03,0.5,-0.89999999999999836,69.99999999999991
LauriKattelus,,1.0,1.0,1.0,1.0,0
ColdeBelloMonte,,1.0,1.0,1.0,1.0,0
pacollave,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
Adri_uk,,1.0,1.0,1.0,1.0,0
StefanoDavagni,0.75,0.8,0.14,0.57,-0.046666666666667078,30.83333333333335
Pachusma,,1.0,1.0,1.0,1.0,0
HermannLacHey,,1.0,1.0,1.0,1.0,0
ComitatoDNF,0.15,0.14,0.1,0.0,0.079999999999999905,3.999999999999995
JoseLuisLleren2,,1.0,1.0,1.0,1.0,0
ZzuCicciu,,1.0,1.0,0.33,1.0,33.5
Barbalbero_,,1.0,0.5,1.0,6.6613381477509392e-16,49.999999999999964
ilgiornale,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
feles87,,1.0,1.0,1.0,1.0,0
moushes,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
VEnriqueSD,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
FABIODITODARO,,1.0,1.0,1.0,1.0,0
jfgras_zafra,,1.0,1.0,1.0,1.0,0
podemosmurcia,1.0,0.67,0.67,0.67,0.44999999999999962,11.000000000000021
raultorg,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
migueltomas_,,1.0,1.0,0.5,1.0,25.0
frarorarf,,1.0,1.0,1.0,1.0,0
fam_cristiana,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
HolaNotasPrensa,,1.0,1.0,1.0,1.0,0
FabianMirandaM,,1.0,1.0,1.0,1.0,0
battagliero84,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
alessiobae,,1.0,1.0,1.0,1.0,0
pettesimo14,,0.33,0.24,0.5,0.15000000000000036,17.499999999999982
giannimunizza,1.0,1.0,0.5,0.0,0.33333333333333259,16.66666666666663
ArchAtlas,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
beria_giancarla,,1.0,1.0,1.0,1.0,0
alfaxirius,,1.0,1.0,1.0,1.0,0
3d4c0m,,1.0,1.0,1.0,1.0,0
hardcorejudas,,1.0,0.46,1.0,-0.079999999999998739,53.999999999999936
ljaakonsaari,,1.0,1.0,1.0,1.0,0
dPiovan,,0.1,0.01,1.0,-0.079999999999999793,53.99999999999999
PellegriniLuisa,,1.0,1.0,1.0,1.0,0
FloresRojasMX,,0.33,0.33,0.25,0.33000000000000013,4.000000000000006
mov_ideaToscana,1.0,1.0,1.0,0.5,0.99999999999999967,24.999999999999982
SergioZ01,,0.32,0.2,0.33,0.080000000000000293,12.499999999999986
AdeleOri,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
PaolaPagliaro,0.94,0.2,0.29,0.25,-0.17333333333333401,21.1666666666667
PartSocialista,,1.0,1.0,1.0,1.0,0
PsiCaloveto,,1.0,1.0,1.0,1.0,0
CNT_Fuenlabrada,,1.0,1.0,1.0,1.0,0
CronacaParlamen,,1.0,0.99,1.0,0.98000000000000065,0.9999999999999676
pepo1913,,0.5,0.5,1.0,0.50000000000000022,24.99999999999999
Visach80,,1.0,1.0,1.0,1.0,0
paulitacarva,,1.0,1.0,1.0,1.0,0
Christi64521865,,1.0,1.0,1.0,1.0,0
adamosy10,,1.0,1.0,1.0,1.0,0
maria_gimenez1,,1.0,1.0,1.0,1.0,0
L_e_o_t_o_n,0.5,0.5,0.5,0.25,0.49999999999999983,12.499999999999991
enricovik,0.02,0.2,0.06,0.1,0.13333333333333333,1.6666666666666663
EnferTrabajoMur,,1.0,1.0,1.0,1.0,0
Antongiulio2,0.0,0.0,0.06,-0.07,0.080000000000000016,7.500000000000001
carlogubi,,1.0,0.5,0.0,6.6613381477509392e-16,3.3306690738754696e-14
elemacaron,,1.0,0.5,1.0,6.6613381477509392e-16,49.999999999999964
Odiln3,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
josenorman,,1.0,1.0,1.0,1.0,0
iu_aragon,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
Angela_Ibanez,,1.0,1.0,1.0,1.0,0
podemossanidad,,0.5,0.5,0.5,0.50000000000000022,1.1102230246251565e-14
Luzloizeaux,,1.0,1.0,1.0,1.0,0
Mic_a_e_la,,1.0,1.0,1.0,1.0,0
Sarti_Davide,,1.0,1.0,0.2,1.0,40.0
loacdi,,1.0,1.0,1.0,1.0,0
10261940,,1.0,0.33,0.2,-0.33999999999999853,26.999999999999925
AntennaGambero,,1.0,1.0,1.0,1.0,0
caterinacorda1,1.0,1.0,0.5,0.5,0.33333333333333259,8.333333333333371
alessandro_fato,,1.0,1.0,1.0,1.0,0
MennaFini,,0.1,-0.0,1.0,-0.099999999999999756,54.999999999999986
bjornced,,0.0,1.0,1.0,1.0,0
GustavPin,,1.0,1.0,1.0,1.0,0
MarianaLestelle,,1.0,1.0,1.0,1.0,0
gazzetti_betti,,1.0,1.0,1.0,1.0,0
barbara_levada,,0.32,0.25,0.5,0.18000000000000016,15.999999999999993
OttoMorales12,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
assaloni,1.0,0.0,-0.08,0.08,-0.77333333333333409,42.6666666666667
wisimedina,,1.0,1.0,1.0,1.0,0
FlorGuzmanG,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
malacru,,1.0,1.0,1.0,1.0,0
geriatriachile,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
graziamorisi,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
germenpatogeno,,1.0,1.0,1.0,1.0,0
gloriagrifo,,1.0,1.0,1.0,1.0,0
Frodo6Luca,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
marianski65,,0.96,-0.02,1.0,-0.999999999999998,99.9999999999999
ragomgar,1.0,1.0,0.06,0.67,-0.25333333333333408,46.16666666666671
GiocondaGallina,,1.0,0.5,1.0,6.6613381477509392e-16,49.999999999999964
kermit290179,1.0,0.33,0.25,0.46,-0.22333333333333361,34.16666666666668
Antonello_Lazzo,,1.0,1.0,1.0,1.0,0
amicoCelebrity,,1.0,1.0,1.0,1.0,0
g_parmi,,1.0,1.0,1.0,1.0,0
MariellaMaffini,,1.0,1.0,1.0,1.0,0
moguillaumet,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
sergiofenizia,,0.5,0.5,0.25,0.50000000000000022,12.50000000000001
MarcoUdc,1.0,1.0,0.33,0.25,0.10666666666666602,7.166666666666699
AQueMeVoyAIkea,,1.0,1.0,1.0,1.0,0
EArcolao,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
corrini,,1.0,1.0,1.0,1.0,0
davmadrid_,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
CristinaMongioy,,1.0,0.33,1.0,-0.33999999999999853,66.99999999999993
MariaFidei,,1.0,1.0,0.5,1.0,25.0
WTR_282,,1.0,1.0,1.0,1.0,0
haroldfdl,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
donMimmo,,1.0,1.0,1.0,1.0,0
jcguillend,1.0,1.0,0.5,0.5,0.33333333333333259,8.333333333333371
MANUEL_ONATE,,1.0,1.0,1.0,1.0,0
MedesMontgri,,1.0,1.0,1.0,1.0,0
ScarparoSara,1.0,0.5,0.5,1.0,0.16666666666666607,41.6666666666667
joseacuencat,1.0,1.0,0.6,0.25,0.46666666666666579,10.83333333333329
aulihapponen,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
petronillarusso,,0.5,0.0,0.33,-0.49999999999999933,41.49999999999997
seloig,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
AlexSv85,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
STEFANIALOVE69,,1.0,0.93,1.0,0.86000000000000087,6.9999999999999565
PenelopeCHG,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
justoutofmood,1.0,0.99,0.2,0.0,-0.070000000000000728,3.5000000000000364
Rappa1958,,1.0,0.5,1.0,6.6613381477509392e-16,49.999999999999964
giuseppegullon8,,1.0,0.75,1.0,0.50000000000000056,24.99999999999997
fjconpe,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
globalistIT,,1.0,1.0,1.0,1.0,0
humanizacionSS,,1.0,1.0,1.0,1.0,0
_MicroMega_,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
civati,,1.0,1.0,1.0,1.0,0
LAMONTEDOC,-1.0,0.0,0.0,-0.14,0.66666666666666741,40.33333333333337
chastonytw,1.0,1.0,1.0,1.0,0.99999999999999967,1.6653345369377348e-14
