Nodo,Rw Settembre,Rw Ottobre,Rw Novembre,Rw Dicembre,Rw Dicembre Predetto,Rwerrore
gianlucacaruso,,1.0,0.01,1.0,0.01,49.5
MonicaMercati,,1.0,1.0,1.0,1.0,0
angheran70,,0.5,0.2,0.2,0.2,0
ilGrandeMao,1.0,1.0,1.0,1.0,1.0,0
GToccafondi,,1.0,1.0,1.0,1.0,0
garciacg17,1.0,1.0,1.0,1.0,1.0,0
AnPetrosino,,0.5,0.5,0.5,0.5,0
PadreJesusLarez,,1.0,1.0,1.0,1.0,0
elin_lopez,,1.0,1.0,1.0,1.0,0
Titty_Gaudio,,1.0,0.0,0.0,0.0,0
nicola_atlante,,0.25,-0.0,0.5,0.0,25.0
ValentinaFanti9,,0.96,0.03,0.5,0.03,23.5
LauriKattelus,,1.0,1.0,1.0,1.0,0
ColdeBelloMonte,,1.0,1.0,1.0,1.0,0
pacollave,1.0,1.0,1.0,1.0,1.0,0
Adri_uk,,1.0,1.0,1.0,1.0,0
StefanoDavagni,0.75,0.8,0.14,0.57,0.47000000000000003,4.9999999999999964
Pachusma,,1.0,1.0,1.0,1.0,0
HermannLacHey,,1.0,1.0,1.0,1.0,0
ComitatoDNF,0.15,0.14,0.1,0.0,0.12000000000000001,6.000000000000001
JoseLuisLleren2,,1.0,1.0,1.0,1.0,0
ZzuCicciu,,1.0,1.0,0.33,1.0,33.5
Barbalbero_,,1.0,0.5,1.0,0.5,25.0
ilgiornale,1.0,1.0,1.0,1.0,1.0,0
feles87,,1.0,1.0,1.0,1.0,0
moushes,1.0,1.0,1.0,1.0,1.0,0
VEnriqueSD,1.0,1.0,1.0,1.0,1.0,0
FABIODITODARO,,1.0,1.0,1.0,1.0,0
jfgras_zafra,,1.0,1.0,1.0,1.0,0
podemosmurcia,1.0,0.67,0.67,0.67,0.67,0
raultorg,1.0,1.0,1.0,1.0,1.0,0
migueltomas_,,1.0,1.0,0.5,1.0,25.0
frarorarf,,1.0,1.0,1.0,1.0,0
fam_cristiana,1.0,1.0,1.0,1.0,1.0,0
HolaNotasPrensa,,1.0,1.0,1.0,1.0,0
FabianMirandaM,,1.0,1.0,1.0,1.0,0
battagliero84,1.0,1.0,1.0,1.0,1.0,0
alessiobae,,1.0,1.0,1.0,1.0,0
pettesimo14,,0.33,0.24,0.5,0.24,13.0
giannimunizza,1.0,1.0,0.5,0.0,0.75,37.5
ArchAtlas,1.0,1.0,1.0,1.0,1.0,0
beria_giancarla,,1.0,1.0,1.0,1.0,0
alfaxirius,,1.0,1.0,1.0,1.0,0
3d4c0m,,1.0,1.0,1.0,1.0,0
hardcorejudas,,1.0,0.46,1.0,0.46,27.0
ljaakonsaari,,1.0,1.0,1.0,1.0,0
dPiovan,,0.1,0.01,1.0,0.01,49.5
PellegriniLuisa,,1.0,1.0,1.0,1.0,0
FloresRojasMX,,0.33,0.33,0.25,0.33,4.000000000000001
mov_ideaToscana,1.0,1.0,1.0,0.5,1.0,25.0
SergioZ01,,0.32,0.2,0.33,0.2,6.5
AdeleOri,1.0,1.0,1.0,1.0,1.0,0
