Nodo,Venezuela Settembre,Venezuela Ottobre,Venezuela Novembre,Venezuela Dicembre,Venezuela Dicembre Predetto,Venezuelaerrore
gianlucacaruso,,1.0,0.9055789213477256,1.0,0.9055789213477256,4.721053932613723
MonicaMercati,,1.0,1.0,1.0,1.0,0
angheran70,,1.0,1.0,1.0,1.0,0
ilGrandeMao,1.0,1.0,1.0,1.0,1.0,0
GToccafondi,,1.0,1.0,1.0,1.0,0
garciacg17,1.0,1.0,1.0,1.0,1.0,0
AnPetrosino,,1.0,1.0,1.0,1.0,0
PadreJesusLarez,,1.0,1.0,1.0,1.0,0
elin_lopez,,1.0,1.0,1.0,1.0,0
Titty_Gaudio,,1.0,0.5,0.3333333333333333,0.5,8.333333333333334
nicola_atlante,,1.0,0.9925767176976233,1.0,0.9925767176976233,0.37116411511883274
ValentinaFanti9,,0.8259092881561844,0.6754001957783173,0.8978406201267721,0.6754001957783173,11.12202121742274
LauriKattelus,,1.0,1.0,1.0,1.0,0
ColdeBelloMonte,,1.0,1.0,1.0,1.0,0
pacollave,1.0,1.0,1.0,1.0,1.0,0
Adri_uk,,1.0,1.0,1.0,1.0,0
StefanoDavagni,1.0,1.0,1.0,1.0,1.0,0
Pachusma,,1.0,1.0,1.0,1.0,0
HermannLacHey,,1.0,1.0,1.0,1.0,0
ComitatoDNF,1.0,1.0,1.0,1.0,1.0,0
JoseLuisLleren2,,1.0,1.0,1.0,1.0,0
ZzuCicciu,,1.0,1.0,1.0,1.0,0
Barbalbero_,,1.0,1.0,1.0,1.0,0
ilgiornale,1.0,1.0,1.0,1.0,1.0,0
feles87,,1.0,1.0,1.0,1.0,0
moushes,1.0,1.0,1.0,1.0,1.0,0
VEnriqueSD,1.0,1.0,1.0,1.0,1.0,0
FABIODITODARO,,1.0,1.0,1.0,1.0,0
jfgras_zafra,,1.0,1.0,1.0,1.0,0
podemosmurcia,1.0,1.0,1.0,1.0,1.0,0
raultorg,1.0,1.0,1.0,1.0,1.0,0
migueltomas_,,1.0,1.0,1.0,1.0,0
frarorarf,,1.0,1.0,1.0,1.0,0
fam_cristiana,1.0,1.0,1.0,1.0,1.0,0
HolaNotasPrensa,,1.0,1.0,1.0,1.0,0
FabianMirandaM,,1.0,1.0,1.0,1.0,0
battagliero84,1.0,1.0,1.0,1.0,1.0,0
alessiobae,,1.0,1.0,1.0,1.0,0
pettesimo14,,0.9892709561045511,0.8575926050482836,1.0,0.8575926050482836,7.120369747585819
giannimunizza,1.0,1.0,0.8034202134475439,0.6387150353394322,0.9017101067237719,13.149753569216987
ArchAtlas,1.0,1.0,1.0,1.0,1.0,0
beria_giancarla,,1.0,1.0,1.0,1.0,0
alfaxirius,,1.0,1.0,1.0,1.0,0
3d4c0m,,1.0,1.0,1.0,1.0,0
hardcorejudas,,0.9678128683136531,0.8774851122089848,1.0,0.8774851122089848,6.125744389550758
ljaakonsaari,,1.0,1.0,1.0,1.0,0
dPiovan,,0.9278250439188076,0.7167367640176234,1.0,0.7167367640176234,14.163161799118829
PellegriniLuisa,,1.0,1.0,1.0,1.0,0
FloresRojasMX,,1.0,1.0,1.0,1.0,0
mov_ideaToscana,1.0,1.0,1.0,1.0,1.0,0
SergioZ01,,0.939451766080312,0.8339139748416072,1.0,0.8339139748416072,8.304301257919638
AdeleOri,1.0,1.0,1.0,1.0,1.0,0
PaolaPagliaro,0.5905689872626149,0.9477864501447724,0.8789965632780902,1.0,0.9133915067114313,4.330424664428434
PartSocialista,,1.0,1.0,1.0,1.0,0
PsiCaloveto,,1.0,1.0,1.0,1.0,0
CNT_Fuenlabrada,,1.0,1.0,1.0,1.0,0
CronacaParlamen,,1.0,0.9314402311199229,1.0,0.9314402311199229,3.427988444003854
pepo1913,,1.0,1.0,1.0,1.0,0
Visach80,,1.0,1.0,1.0,1.0,0
paulitacarva,,1.0,1.0,1.0,1.0,0
Christi64521865,,1.0,1.0,1.0,1.0,0
adamosy10,,1.0,1.0,1.0,1.0,0
maria_gimenez1,,1.0,1.0,1.0,1.0,0
L_e_o_t_o_n,1.0,1.0,1.0,1.0,1.0,0
enricovik,1.0,1.0,1.0,1.0,1.0,0
EnferTrabajoMur,,1.0,1.0,1.0,1.0,0
Antongiulio2,0.561165189877301,0.7495755935720932,0.7893690035267311,0.7527962768133095,0.7694722985494122,0.833801086805136
carlogubi,,1.0,0.8737818751966151,0.6387150353394322,0.8737818751966151,11.753341992859145
elemacaron,,1.0,1.0,1.0,1.0,0
Odiln3,1.0,1.0,1.0,1.0,1.0,0
josenorman,,1.0,1.0,1.0,1.0,0
iu_aragon,1.0,1.0,1.0,1.0,1.0,0
Angela_Ibanez,,1.0,1.0,1.0,1.0,0
podemossanidad,,1.0,1.0,1.0,1.0,0
Luzloizeaux,,1.0,1.0,1.0,1.0,0
Mic_a_e_la,,1.0,1.0,1.0,1.0,0
Sarti_Davide,,1.0,1.0,1.0,1.0,0
loacdi,,1.0,1.0,1.0,1.0,0
10261940,,1.0,1.0,1.0,1.0,0
AntennaGambero,,1.0,1.0,1.0,1.0,0
caterinacorda1,1.0,1.0,1.0,1.0,1.0,0
alessandro_fato,,0.9251320090837617,0.7475637503932303,1.0,0.7475637503932303,12.621812480338484
MennaFini,,0.9639125219624561,0.932672950522259,1.0,0.932672950522259,3.3663524738870523
bjornced,,-1.0,1.0,1.0,1.0,0
GustavPin,,1.0,1.0,1.0,1.0,0
MarianaLestelle,,1.0,1.0,1.0,1.0,0
gazzetti_betti,,1.0,1.0,1.0,1.0,0
barbara_levada,,0.9419697627187281,1.0,0.8978406201267721,1.0,5.107968993661394
OttoMorales12,1.0,1.0,1.0,1.0,1.0,0
assaloni,1.0,0.3333333333333333,0.5844090952853033,1.0,0.4588712143093183,27.056439284534083
wisimedina,,1.0,1.0,1.0,1.0,0
FlorGuzmanG,1.0,1.0,1.0,1.0,1.0,0
malacru,,1.0,1.0,1.0,1.0,0
geriatriachile,1.0,1.0,1.0,1.0,1.0,0
graziamorisi,1.0,1.0,1.0,1.0,1.0,0
germenpatogeno,,1.0,1.0,1.0,1.0,0
gloriagrifo,,1.0,1.0,1.0,1.0,0
Frodo6Luca,1.0,1.0,1.0,1.0,1.0,0
marianski65,,0.8259092881561844,0.8957108569565446,0.7956812402535444,0.8957108569565446,5.001480835150013
ragomgar,1.0,1.0,1.0,1.0,1.0,0
GiocondaGallina,,1.0,1.0,1.0,1.0,0
kermit290179,1.0,0.9446088866029937,0.7944835426465913,0.7721312289922457,0.8695462146247925,4.87074928162734
Antonello_Lazzo,,1.0,1.0,1.0,1.0,0
amicoCelebrity,,1.0,1.0,1.0,1.0,0
g_parmi,,1.0,1.0,1.0,1.0,0
MariellaMaffini,,1.0,1.0,1.0,1.0,0
moguillaumet,1.0,1.0,1.0,1.0,1.0,0
sergiofenizia,,1.0,1.0,1.0,1.0,0
MarcoUdc,1.0,1.0,1.0,1.0,1.0,0
AQueMeVoyAIkea,,1.0,1.0,1.0,1.0,0
EArcolao,1.0,1.0,1.0,1.0,1.0,0
corrini,,1.0,1.0,1.0,1.0,0
davmadrid_,1.0,1.0,1.0,1.0,1.0,0
CristinaMongioy,,1.0,0.9974548746392066,1.0,0.9974548746392066,0.1272562680396716
MariaFidei,,1.0,1.0,1.0,1.0,0
WTR_282,,1.0,1.0,1.0,1.0,0
haroldfdl,1.0,1.0,1.0,1.0,1.0,0
donMimmo,,1.0,1.0,1.0,1.0,0
jcguillend,1.0,1.0,1.0,1.0,1.0,0
MANUEL_ONATE,,1.0,1.0,1.0,1.0,0
MedesMontgri,,1.0,1.0,1.0,1.0,0
ScarparoSara,1.0,1.0,1.0,1.0,1.0,0
joseacuencat,1.0,1.0,1.0,1.0,1.0,0
aulihapponen,1.0,1.0,1.0,1.0,1.0,0
petronillarusso,,0.9129546440780922,0.9652369523188482,0.9318937467511814,0.9652369523188482,1.6671602783833395
seloig,1.0,1.0,1.0,1.0,1.0,0
AlexSv85,1.0,1.0,1.0,1.0,1.0,0
STEFANIALOVE69,,0.9678128683136531,0.7549702244179696,1.0,0.7549702244179696,12.251488779101521
PenelopeCHG,1.0,1.0,1.0,1.0,1.0,0
justoutofmood,1.0,0.9251320090903875,0.9488132218343999,0.6666666666666666,0.9369726154623936,13.51529743978635
Rappa1958,,1.0,1.0,1.0,1.0,0
giuseppegullon8,,1.0,1.0,1.0,1.0,0
fjconpe,1.0,1.0,1.0,1.0,1.0,0
globalistIT,,1.0,1.0,1.0,1.0,0
humanizacionSS,,1.0,1.0,1.0,1.0,0
_MicroMega_,1.0,1.0,1.0,1.0,1.0,0
civati,,1.0,1.0,1.0,1.0,0
LAMONTEDOC,-1.0,-0.016093565843173452,-0.4150099251940101,-0.2911475084031017,-0.21555174551859177,3.7797881442254972
chastonytw,1.0,1.0,1.0,1.0,1.0,0
EulaliaGrillo,,1.0,0.9923646239176195,1.0,0.9923646239176195,0.3817688041190259
cronitaliana,,1.0,1.0,1.0,1.0,0
cuidadors,,1.0,1.0,1.0,1.0,0
MayraADiaz1,,1.0,1.0,1.0,1.0,0
Radio3scienza,,1.0,1.0,1.0,1.0,0
L_basili,,0.8259092881561844,0.8957108569565446,0.7956812402535444,0.8957108569565446,5.001480835150013
odissea86,,1.0,1.0,1.0,1.0,0
paolacsc,1.0,0.9548612583880246,0.5025835912709521,0.0,0.7287224248294883,36.43612124147442
radio3santarosa,,1.0,1.0,1.0,1.0,0
Urobertu,1.0,1.0,1.0,1.0,1.0,0
ale_petraglia,,1.0,1.0,1.0,1.0,0
formichenews,1.0,1.0,1.0,1.0,1.0,0
mariomarazziti,,1.0,1.0,1.0,1.0,0
MireyaTimi,1.0,1.0,1.0,1.0,1.0,0
marialolamajari,,1.0,1.0,1.0,1.0,0
marcoprat,,1.0,1.0,1.0,1.0,0
DoninGianni,,1.0,1.0,1.0,1.0,0
va_varca,,1.0,0.0,0.0,0.0,0
MaurizioAlba,,1.0,1.0,1.0,1.0,0
Elisabe250265,,0.9251320090837617,-0.12621812480338485,-1.0,-0.12621812480338485,43.689093759830754
BeppeSammartino,0.7952844936313075,0.9361758481225456,0.8894539176292037,0.5869317436853196,0.9128148828758746,16.29415695952775
eardila02,,1.0,1.0,1.0,1.0,0
Andrea_Mariotto,,1.0,1.0,1.0,1.0,0
laurabagnoli,,1.0,1.0,0.6976568405139835,1.0,15.117157974300827
Catacamile,,1.0,1.0,1.0,1.0,0
erchamion17,1.0,1.0,1.0,1.0,1.0,0
FilippinRosanna,,1.0,1.0,1.0,1.0,0
lupoalberto1960,,1.0,1.0,1.0,1.0,0
blusewillis,1.0,1.0,1.0,1.0,1.0,0
vrwestperrenzi,,1.0,1.0,1.0,1.0,0
LauraFabiolaTo,1.0,1.0,1.0,1.0,1.0,0
faustalissia,,1.0,1.0,1.0,1.0,0
GenaroLopezR,1.0,1.0,1.0,1.0,1.0,0
devivocarmen,,1.0,1.0,1.0,1.0,0
ANMagistrati,,1.0,1.0,1.0,1.0,0
phenobarbital,,1.0,1.0,1.0,1.0,0
chiara_201181,,1.0,1.0,0.0,1.0,50.0
FBergamini3,,0.9625660045418809,0.9158545834644101,1.0,0.9158545834644101,4.207270826779497
geraldinasplace,1.0,1.0,1.0,1.0,1.0,0
Tirso1920,1.0,1.0,1.0,1.0,1.0,0
GabriellaSaba1,1.0,1.0,1.0,1.0,1.0,0
angelicamgb77,,1.0,1.0,1.0,1.0,0
MxQuesito,,1.0,1.0,1.0,1.0,0
schnitzlerrr,1.0,1.0,1.0,1.0,1.0,0
Trovolavorobiz,1.0,1.0,1.0,1.0,1.0,0
doctorsimon2,1.0,1.0,1.0,1.0,1.0,0
verodlpuerta,,1.0,1.0,1.0,1.0,0
GaschinoG,0.7764221520011908,0.9523415067285986,0.7288154724693666,0.6906718477997315,0.8405784895989826,7.495332089962559
Guerradtw,,1.0,1.0,1.0,1.0,0
sarafornari1,,1.0,1.0,1.0,1.0,0
FurioGarbagnati,,1.0,0.99448556171828,1.0,0.99448556171828,0.27572191408600233
Soppressatira,,1.0,1.0,1.0,1.0,0
josemdominguezr,,1.0,1.0,1.0,1.0,0
ArderasDocu,1.0,1.0,1.0,1.0,1.0,0
IBBioetica,1.0,1.0,1.0,1.0,1.0,0
lLPorcoNero,1.0,1.0,1.0,1.0,1.0,0
steeler555,,1.0,1.0,1.0,1.0,0
crigiunchi,,1.0,0.5364377935608327,0.24541426681293466,0.5364377935608327,14.5511763373949
achispd,1.0,1.0,1.0,1.0,1.0,0
elenamihaita,,1.0,1.0,1.0,1.0,0
000120o,,1.0,0.9900403150911752,1.0,0.9900403150911752,0.49798424544124087
ecampsol,1.0,1.0,1.0,1.0,1.0,0
gaetanomaisto,,1.0,1.0,1.0,1.0,0
juherya,1.0,1.0,1.0,1.0,1.0,0
SerenellaVerd,,1.0,1.0,1.0,1.0,0
EdizioniSpartac,,1.0,1.0,1.0,1.0,0
archcg_cencioni,,0.8259092881561844,0.8957108569565446,0.7956812402535444,0.8957108569565446,5.001480835150013
idamontemagno,0.3417478718796837,0.36998404513101446,0.3310613879073487,0.11814208193281643,0.35052271651918154,11.619031729318255
Eduplaram,,1.0,1.0,1.0,1.0,0
FrenteAmplio_Ve,,1.0,1.0,1.0,1.0,0
MdSabini,,1.0,1.0,1.0,1.0,0
AngrySveva,1.0,1.0,1.0,1.0,1.0,0
restaurando11,,1.0,1.0,1.0,1.0,0
luisorel,,1.0,0.8629890284318582,0.876185203949235,0.8629890284318582,0.659808775868842
___xscd,,1.0,0.9974548746392066,1.0,0.9974548746392066,0.1272562680396716
KristiinaKunnas,,1.0,1.0,1.0,1.0,0
mariellarosati,,1.0,0.6,0.9045303500548505,0.6,15.226517502742526
sonsolesoz,1.0,1.0,1.0,1.0,1.0,0
juankicani,1.0,1.0,1.0,1.0,1.0,0
angelgarcia3030,1.0,1.0,1.0,1.0,1.0,0
claudialopedote,1.0,1.0,1.0,1.0,1.0,0
angelomassa6,,0.9251320090837617,0.7475637503932303,0.5664393758956797,0.7475637503932303,9.05621872487753
iloveLivorno,,1.0,1.0,1.0,1.0,0
leosanchezu,,1.0,1.0,1.0,1.0,0
luciadecosimo78,,1.0,1.0,1.0,1.0,0
LaityFamilyLife,,1.0,1.0,1.0,1.0,0
IlMattinoFoggia,,1.0,1.0,1.0,1.0,0
kanalibeach,-1.0,0.0,0.9047619047619048,1.0,0.4523809523809524,27.380952380952383
Arqui_Cali,,1.0,1.0,1.0,1.0,0
SarkasmiSakari,1.0,1.0,1.0,1.0,1.0,0
LucioRomano02,1.0,1.0,1.0,1.0,1.0,0
ritamontanucci1,,1.0,1.0,1.0,1.0,0
Kamik_C,,1.0,1.0,1.0,1.0,0
scusateleterga,1.0,1.0,1.0,1.0,1.0,0
PillolaRazional,,1.0,1.0,1.0,1.0,0
RafaelLenL1,1.0,1.0,1.0,1.0,1.0,0
danielelussana,0.5905689872626149,0.8955729002895447,0.8460606243219494,0.9380926019746175,0.870816762305747,3.3637919834435257
LuciGuenz,,0.9251320090837617,0.45661678503526204,0.3333333333333333,0.45661678503526204,6.164172585096436
anahermilda,,1.0,1.0,1.0,1.0,0
Laakarilehti,,-1.0,1.0,1.0,1.0,0
NadiaTrentini1,,0.9839064341568265,0.9183234081393232,-0.16666666666666669,0.9183234081393232,54.249503740299495
pastorbprogre,1.0,1.0,1.0,1.0,1.0,0
FFarina1984,,1.0,1.0,1.0,1.0,0
ShareTheRoadFab,1.0,1.0,1.0,-1.0,1.0,100.0
Patriota1959,1.0,1.0,1.0,1.0,1.0,0
sebaquila,1.0,1.0,1.0,1.0,1.0,0
Lady_Marian_G,1.0,1.0,1.0,1.0,1.0,0
Mode_Valdese,1.0,1.0,1.0,1.0,1.0,0
bebookness,,1.0,1.0,1.0,1.0,0
nitaidler,1.0,1.0,1.0,1.0,1.0,0
IesuAnna,,1.0,0.8557962865059812,0.6763931302810786,0.8557962865059812,8.970157811245127
perquisidor,1.0,1.0,1.0,1.0,1.0,0
Alexylicious6,,1.0,1.0,1.0,1.0,0
noakeiko,1.0,1.0,1.0,1.0,1.0,0
mammapapaebimbi,1.0,1.0,1.0,1.0,1.0,0
Libellula51,,0.8259092881561844,0.9478554284782723,0.2652270800845148,0.9478554284782723,34.13141741968788
EmiliaDeBiasi,1.0,1.0,0.9314402311198341,0.4081632653061225,0.9657201155599171,27.877842512689732
HSBnoticias,,1.0,1.0,1.0,1.0,0
BALLETTODANZA,,0.8259092881561844,0.8957108569565446,0.7956812402535444,0.8957108569565446,5.001480835150013
rivellandrea,0.6834957437593674,0.9330068957476639,0.9526292733330042,1.0,0.942818084540334,2.8590957729833
abladalba,1.0,1.0,1.0,1.0,1.0,0
Tittidp75,,1.0,1.0,1.0,1.0,0
LuciaValchera,,1.0,1.0,1.0,1.0,0
riccardoena66,,1.0,0.9314402311199229,0.7040816326530612,0.9314402311199229,11.367929923343084
AnikinGil,,1.0,1.0,1.0,1.0,0
bianchi_ennio,,0.9678128683136531,0.25165674147265654,0.0,0.25165674147265654,12.582837073632827
GianPieroCroppo,1.0,1.0,0.9453411809140648,0.3058374975821983,0.9726705904570324,33.341654643741705
chiafloreslugo,,1.0,1.0,1.0,1.0,0
AllaTuaPresenza,,1.0,1.0,1.0,1.0,0
VSprint6,,1.0,1.0,1.0,1.0,0
Diego__MD,1.0,1.0,1.0,1.0,1.0,0
Juanmacofren,,1.0,1.0,1.0,1.0,0
fershoman123,,1.0,1.0,1.0,1.0,0
mariagildac,,1.0,1.0,1.0,1.0,0
Confronti_CNT,1.0,1.0,1.0,1.0,1.0,0
NextNewMedia,,1.0,1.0,1.0,1.0,0
Goernefrau,1.0,1.0,1.0,1.0,1.0,0
fabiopazzini,-0.10374465797837407,0.9464724387016252,0.8125244313012159,0.8480874859948305,0.8794984350014206,1.5705474503295014
irisindia1,1.0,1.0,1.0,1.0,1.0,0
yeramirezh,,1.0,1.0,1.0,1.0,0
AbelNovoa,1.0,1.0,1.0,1.0,1.0,0
ivancatalanodep,0.5905689872626149,0.8955729002895447,0.7114819730841977,1.0,0.8035274366868712,9.823628165656439
alexarmuzzi,,1.0,1.0,1.0,1.0,0
ktirita1,,1.0,1.0,1.0,1.0,0
rominaroy23,,1.0,1.0,1.0,1.0,0
MandrakeMette,0.7952844936313075,0.9326493916648504,0.8142194802525007,0.8554797919652266,0.8734344359586755,0.8977321996724463
AgustinaWeyler,,1.0,1.0,1.0,1.0,0
PodemosAlhama,,1.0,1.0,1.0,1.0,0
nuevainsula,1.0,1.0,1.0,1.0,1.0,0
tersilvio,,1.0,1.0,1.0,1.0,0
Jusfincom,,1.0,1.0,1.0,1.0,0
